,date,time,Flare Flag,1-7 GHz,7-13 GHz,13-18 GHz,Mean,Sigma,Threshold,Count
0,2024-04-03,21:30:23.495000,213023.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-04-03,21:30:24.546000,213024.546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-04-03,21:30:25.167000,213025.167,47240.3633,8312.25977,3301.1416,3301.1416,10897536.0,0.0,1.0
3,2024-04-03,21:30:26.184000,213026.184,49845.4688,8314.94727,3396.20703,3348.67432,67.2160721,0.0,2.0
4,2024-04-03,21:30:27.209000,213027.209,48167.2344,8280.69531,3260.15137,3319.16675,69.7853851,0.0,3.0
5,2024-04-03,21:30:28.275000,213028.275,1224.75671,746.74762,742.506714,2675.00171,1289.5896,0.0,4.0
6,2024-04-03,21:30:29.328000,213029.328,1232.67712,748.665649,742.721985,2288.54565,1412.09875,0.0,5.0
7,2024-04-03,21:30:30.425000,213030.425,1229.49866,748.190979,743.917542,2031.10779,1411.68811,0.0,6.0
8,2024-04-03,21:30:31.491000,213031.491,1228.82874,751.351685,743.950684,1847.22827,1377.46179,0.0,7.0
9,2024-04-03,21:30:32.532000,213032.532,1230.76123,745.837158,743.614685,1709.27649,1333.63782,0.0,8.0
10,2024-04-03,21:30:33.585000,213033.585,1235.59668,751.87915,747.630676,1602.427,1288.02844,0.0,9.0
11,2024-04-03,21:30:34.747000,213034.747,1222.30933,751.114685,746.753113,1516.85962,1244.14624,5249.29834,10.0
12,2024-04-03,21:30:35.479000,213035.479,1230.88635,754.347473,741.269409,1446.35144,1203.24353,5056.08203,11.0
13,2024-04-03,21:30:36.910000,213036.91,1224.41748,750.183472,742.123718,1387.66565,1165.12048,4883.02686,12.0
14,2024-04-03,21:30:37.424000,213037.424,1235.0199,746.883423,744.322388,1338.17773,1129.69824,4727.27246,13.0
15,2024-04-03,21:30:38.370000,213038.37,25288.9609,4979.14844,2704.62598,1435.78125,1145.17126,4871.29492,14.0
16,2024-04-03,21:30:39.424000,213039.424,21936.8984,4968.06592,2616.47925,1514.49438,1144.84985,4949.04395,15.0
