,UTC_TIME,TAI,ESP_Q0_COUNTS,ESP_Q1_COUNTS,ESP_Q2_COUNTS,ESP_Q3_COUNTS,ESP_0_7_COUNTS,ESP_17_COUNTS,ESP_25_COUNTS,ESP_30_COUNTS,ESP_36_COUNTS,ESP_DARK_COUNTS,MP_LYA_COUNTS,MP_DARK_COUNTS,dt
49,2024-04-03 20:11:00,2090866297.6122572,54,110,163,224,551,559,157,161,0,48,38,40,2024-04-03 20:11:00
50,2024-04-03 20:11:10,2090866307.6125753,53,111,166,223,553,559,158,162,0,49,39,39,2024-04-03 20:11:10
51,2024-04-03 20:11:20,2090866317.6125958,53,110,164,224,551,560,157,161,0,49,38,39,2024-04-03 20:11:20
52,2024-04-03 20:11:30,2090866327.6125858,53,112,163,223,551,561,157,160,0,49,39,39,2024-04-03 20:11:30
53,2024-04-03 20:11:40,2090866337.612365,54,111,164,223,552,560,159,160,0,48,39,40,2024-04-03 20:11:40
54,2024-04-03 20:11:50,2090866347.6126137,53,112,164,223,552,559,158,161,0,49,38,39,2024-04-03 20:11:50
55,2024-04-03 20:12:00,2090866357.6126208,53,111,164,223,551,560,157,161,0,49,40,40,2024-04-03 20:12:00
56,2024-04-03 20:12:10,2090866367.6126947,53,111,165,222,551,560,157,161,0,49,40,39,2024-04-03 20:12:10
57,2024-04-03 20:12:20,2090866377.61237,53,111,165,222,551,560,158,161,0,49,40,40,2024-04-03 20:12:20
58,2024-04-03 20:12:30,2090866387.6123734,52,110,165,223,550,559,158,161,0,49,39,39,2024-04-03 20:12:30
59,2024-04-03 20:12:40,2090866397.6123757,54,110,164,222,550,560,161,161,0,49,39,39,2024-04-03 20:12:40
60,2024-04-03 20:12:50,2090866407.6123686,53,111,164,223,551,560,158,161,0,49,39,39,2024-04-03 20:12:50
61,2024-04-03 20:13:00,2090866417.612331,54,112,164,223,553,560,158,161,0,48,39,39,2024-04-03 20:13:00
62,2024-04-03 20:13:10,2090866427.6124136,53,111,164,224,552,559,158,161,0,50,39,39,2024-04-03 20:13:10
63,2024-04-03 20:13:20,2090866437.6123588,52,111,164,224,551,558,158,161,0,49,38,40,2024-04-03 20:13:20
64,2024-04-03 20:13:30,2090866447.6126826,53,111,164,222,550,558,158,161,0,48,40,40,2024-04-03 20:13:30
65,2024-04-03 20:13:40,2090866457.6124113,55,112,164,224,555,559,158,161,0,48,38,39,2024-04-03 20:13:40
66,2024-04-03 20:13:50,2090866467.6124184,54,110,164,223,551,559,157,161,0,48,39,40,2024-04-03 20:13:50
67,2024-04-03 20:14:00,2090866477.612683,52,111,164,224,551,559,157,161,0,49,39,39,2024-04-03 20:14:00
68,2024-04-03 20:14:10,2090866487.6124413,53,111,163,223,550,558,158,161,0,50,39,40,2024-04-03 20:14:10
69,2024-04-03 20:14:20,2090866497.6124446,53,110,165,223,551,558,157,162,0,48,40,39,2024-04-03 20:14:20
70,2024-04-03 20:14:30,2090866507.6123974,53,113,164,225,555,558,159,161,0,49,39,39,2024-04-03 20:14:30
71,2024-04-03 20:14:40,2090866517.6127195,51,110,165,223,549,558,157,160,0,49,39,39,2024-04-03 20:14:40
72,2024-04-03 20:14:50,2090866527.6127305,53,111,164,224,552,559,157,161,0,50,39,40,2024-04-03 20:14:50
73,2024-04-03 20:15:00,2090866537.6127396,53,111,165,224,553,558,158,161,0,49,39,40,2024-04-03 20:15:00
74,2024-04-03 20:15:10,2090866547.6125073,52,110,163,223,548,559,156,161,0,49,39,39,2024-04-03 20:15:10
75,2024-04-03 20:15:20,2090866557.6127796,53,110,165,224,552,559,158,161,0,49,39,39,2024-04-03 20:15:20
76,2024-04-03 20:15:30,2090866567.6124873,54,111,164,224,553,559,157,160,0,49,39,40,2024-04-03 20:15:30
77,2024-04-03 20:15:40,2090866577.6124468,54,110,164,223,551,559,158,161,0,48,40,40,2024-04-03 20:15:40
78,2024-04-03 20:15:50,2090866587.6127858,54,111,164,223,552,558,157,161,0,48,39,40,2024-04-03 20:15:50
79,2024-04-03 20:16:00,2090866597.6125157,54,111,164,225,554,559,158,161,0,48,40,40,2024-04-03 20:16:00
80,2024-04-03 20:16:10,2090866607.612521,53,109,165,224,551,558,157,161,0,50,38,39,2024-04-03 20:16:10
81,2024-04-03 20:16:20,2090866617.6125147,53,110,165,223,551,559,156,160,0,50,38,40,2024-04-03 20:16:20
82,2024-04-03 20:16:30,2090866627.6124694,53,109,164,224,550,559,158,161,0,48,39,40,2024-04-03 20:16:30
83,2024-04-03 20:16:40,2090866637.6125624,52,111,164,224,551,559,158,161,0,48,39,39,2024-04-03 20:16:40
84,2024-04-03 20:16:50,2090866647.6125515,52,111,163,224,550,559,158,160,0,48,40,39,2024-04-03 20:16:50
85,2024-04-03 20:17:00,2090866657.6125567,54,111,165,224,554,558,158,161,0,48,39,39,2024-04-03 20:17:00
86,2024-04-03 20:17:10,2090866667.6125553,54,111,164,224,553,559,158,161,0,49,39,39,2024-04-03 20:17:10
87,2024-04-03 20:17:20,2090866677.6125634,52,111,164,223,550,559,157,161,0,49,40,39,2024-04-03 20:17:20
88,2024-04-03 20:17:30,2090866687.6127605,55,112,163,224,554,559,158,161,0,49,40,39,2024-04-03 20:17:30
89,2024-04-03 20:17:40,2090866697.6128612,52,111,165,224,552,559,157,161,0,49,40,40,2024-04-03 20:17:40
90,2024-04-03 20:17:50,2090866707.6126213,53,111,163,224,551,560,158,160,0,49,39,39,2024-04-03 20:17:50
91,2024-04-03 20:18:00,2090866717.6125913,54,112,164,221,551,559,158,160,0,49,39,39,2024-04-03 20:18:00
92,2024-04-03 20:18:10,2090866727.6125927,53,111,163,224,551,561,157,161,0,49,39,39,2024-04-03 20:18:10
93,2024-04-03 20:18:20,2090866737.6126122,54,111,164,222,551,559,159,161,0,50,39,39,2024-04-03 20:18:20
94,2024-04-03 20:18:30,2090866747.6126022,54,111,164,222,551,559,157,161,0,49,39,39,2024-04-03 20:18:30
95,2024-04-03 20:18:40,2090866757.6125817,54,111,166,222,553,559,159,161,0,49,38,39,2024-04-03 20:18:40
96,2024-04-03 20:18:50,2090866767.6132271,52,111,166,223,552,560,157,161,0,49,39,39,2024-04-03 20:18:50
97,2024-04-03 20:19:00,2090866777.6126554,53,112,164,224,553,560,157,162,0,49,39,39,2024-04-03 20:19:00
98,2024-04-03 20:19:10,2090866787.6126263,52,110,164,222,548,560,158,161,0,49,39,40,2024-04-03 20:19:10
