,UTC_TIME,TAI,ESP_Q0_COUNTS,ESP_Q1_COUNTS,ESP_Q2_COUNTS,ESP_Q3_COUNTS,ESP_0_7_COUNTS,ESP_17_COUNTS,ESP_25_COUNTS,ESP_30_COUNTS,ESP_36_COUNTS,ESP_DARK_COUNTS,MP_LYA_COUNTS,MP_DARK_COUNTS,dt,ESP_0_7_DIFFS
0,2024-04-03 20:52:10,2090868767.6153717,55,111,163,224,553,560,157,161,1,49,39,40,2024-04-03 20:52:10,
1,2024-04-03 20:52:20,2090868777.6150022,55,112,164,223,554,559,157,161,2,48,39,39,2024-04-03 20:52:20,1.0
2,2024-04-03 20:52:30,2090868787.615427,55,112,165,223,555,560,157,161,1,49,39,40,2024-04-03 20:52:30,1.0
3,2024-04-03 20:52:40,2090868797.6149907,55,110,164,222,551,559,157,162,0,48,40,39,2024-04-03 20:52:40,-4.0
4,2024-04-03 20:52:50,2090868807.6151953,55,110,165,225,555,559,156,160,2,49,39,40,2024-04-03 20:52:50,4.0
5,2024-04-03 20:53:00,2090868817.6150682,55,113,164,222,554,559,157,161,0,48,39,39,2024-04-03 20:53:00,-1.0
6,2024-04-03 20:53:10,2090868827.6155646,56,112,165,223,556,560,157,161,3,49,38,41,2024-04-03 20:53:10,2.0
7,2024-04-03 20:53:20,2090868837.6155956,55,111,165,222,553,558,157,161,2,48,40,39,2024-04-03 20:53:20,-3.0
8,2024-04-03 20:53:30,2090868847.6156065,55,112,163,225,555,561,158,160,0,49,39,39,2024-04-03 20:53:30,2.0
9,2024-04-03 20:53:40,2090868857.6153963,54,110,165,223,552,560,158,160,0,49,39,39,2024-04-03 20:53:40,-3.0
10,2024-04-03 20:53:50,2090868867.615249,56,110,165,223,554,559,157,161,0,48,39,39,2024-04-03 20:53:50,2.0
11,2024-04-03 20:54:00,2090868877.6151388,54,112,164,222,552,558,157,161,1,48,39,39,2024-04-03 20:54:00,-2.0
12,2024-04-03 20:54:10,2090868887.615619,54,111,165,223,553,559,156,160,0,49,39,40,2024-04-03 20:54:10,1.0
13,2024-04-03 20:54:20,2090868897.6155508,54,111,164,224,553,558,157,161,0,49,39,40,2024-04-03 20:54:20,0.0
14,2024-04-03 20:54:30,2090868907.6153502,54,111,165,224,554,559,156,161,2,49,40,41,2024-04-03 20:54:30,1.0
15,2024-04-03 20:54:40,2090868917.6153507,55,111,165,224,555,560,157,162,2,49,39,40,2024-04-03 20:54:40,1.0
16,2024-04-03 20:54:50,2090868927.6152472,54,111,164,223,552,558,157,161,1,49,39,40,2024-04-03 20:54:50,-3.0
17,2024-04-03 20:55:00,2090868937.615798,55,112,164,222,553,558,156,161,0,49,39,39,2024-04-03 20:55:00,1.0
18,2024-04-03 20:55:10,2090868947.6151977,54,111,165,224,554,558,157,161,0,48,39,40,2024-04-03 20:55:10,1.0
19,2024-04-03 20:55:20,2090868957.6151876,53,112,163,223,551,559,157,161,1,49,39,40,2024-04-03 20:55:20,-3.0
20,2024-04-03 20:55:30,2090868967.615189,54,111,164,223,552,560,157,163,1,49,39,39,2024-04-03 20:55:30,1.0
21,2024-04-03 20:55:40,2090868977.6155148,53,112,164,223,552,559,157,160,0,49,39,39,2024-04-03 20:55:40,0.0
22,2024-04-03 20:55:50,2090868987.6154068,53,111,164,225,553,560,157,161,0,50,38,40,2024-04-03 20:55:50,1.0
23,2024-04-03 20:56:00,2090868997.615472,54,111,163,223,551,559,158,160,2,48,39,39,2024-04-03 20:56:00,-2.0
24,2024-04-03 20:56:10,2090869007.6152084,54,111,165,224,554,560,158,161,1,49,40,39,2024-04-03 20:56:10,3.0
25,2024-04-03 20:56:20,2090869017.6154091,53,112,164,222,551,558,157,161,2,49,40,40,2024-04-03 20:56:20,-3.0
26,2024-04-03 20:56:30,2090869027.6152236,54,111,165,223,553,559,157,160,0,50,40,41,2024-04-03 20:56:30,2.0
27,2024-04-03 20:56:40,2090869037.6155388,55,114,164,223,556,558,157,161,1,49,38,40,2024-04-03 20:56:40,3.0
28,2024-04-03 20:56:50,2090869047.6174724,54,112,164,224,554,559,158,161,0,48,39,38,2024-04-03 20:56:50,-2.0
29,2024-04-03 20:57:00,2090869057.6153967,54,111,163,222,550,559,157,161,0,50,39,40,2024-04-03 20:57:00,-4.0
30,2024-04-03 20:57:10,2090869067.6152427,53,111,166,224,554,559,156,161,0,48,39,40,2024-04-03 20:57:10,4.0
31,2024-04-03 20:57:20,2090869077.6157508,56,111,166,223,556,560,157,161,0,49,39,38,2024-04-03 20:57:20,2.0
32,2024-04-03 20:57:30,2090869087.6157694,54,111,166,224,555,559,158,161,0,49,40,40,2024-04-03 20:57:30,-1.0
33,2024-04-03 20:57:40,2090869097.6158004,54,111,164,223,552,559,156,161,0,49,40,40,2024-04-03 20:57:40,-3.0
34,2024-04-03 20:57:50,2090869107.6157675,52,111,166,225,554,559,157,161,1,49,39,39,2024-04-03 20:57:50,2.0
35,2024-04-03 20:58:00,2090869117.6154046,54,111,163,224,552,559,157,161,0,49,39,39,2024-04-03 20:58:00,-2.0
36,2024-04-03 20:58:10,2090869127.615571,54,111,164,223,552,559,157,161,1,49,39,40,2024-04-03 20:58:10,0.0
37,2024-04-03 20:58:20,2090869137.615581,54,111,164,225,554,558,157,161,0,49,39,39,2024-04-03 20:58:20,2.0
38,2024-04-03 20:58:30,2090869147.615487,54,111,164,223,552,559,157,160,2,49,39,40,2024-04-03 20:58:30,-2.0
39,2024-04-03 20:58:40,2090869157.6153114,53,111,164,224,552,559,155,160,0,49,38,39,2024-04-03 20:58:40,0.0
40,2024-04-03 20:58:50,2090869167.6153176,53,112,165,225,555,560,157,162,1,49,39,40,2024-04-03 20:58:50,3.0
41,2024-04-03 20:59:00,2090869177.6153438,52,113,164,224,553,560,156,160,1,49,40,40,2024-04-03 20:59:00,-2.0
42,2024-04-03 20:59:10,2090869187.6156647,55,110,165,223,553,559,157,161,2,49,38,40,2024-04-03 20:59:10,0.0
43,2024-04-03 20:59:20,2090869197.615362,55,111,165,224,555,557,156,161,2,49,40,40,2024-04-03 20:59:20,2.0
44,2024-04-03 20:59:30,2090869207.6153643,54,112,166,223,555,558,157,161,2,49,39,39,2024-04-03 20:59:30,0.0
45,2024-04-03 20:59:40,2090869217.6157854,54,112,165,223,554,559,157,160,2,49,39,40,2024-04-03 20:59:40,-1.0
46,2024-04-03 20:59:50,2090869227.6159852,54,110,165,224,553,559,156,160,2,49,38,40,2024-04-03 20:59:50,-1.0
47,2024-04-03 21:00:00,2090869237.615732,53,112,164,224,553,560,157,161,1,49,39,40,2024-04-03 21:00:00,0.0
48,2024-04-03 21:00:10,2090869247.6157298,53,112,164,223,552,558,157,161,2,49,39,40,2024-04-03 21:00:10,-1.0
49,2024-04-03 21:00:20,2090869257.6216526,54,112,165,225,556,559,157,161,3,49,39,39,2024-04-03 21:00:20,4.0
50,2024-04-03 21:00:30,2090869267.615975,54,110,165,224,553,560,157,161,1,48,39,39,2024-04-03 21:00:30,-3.0
