,UTC_TIME,TAI,ESP_Q0_COUNTS,ESP_Q1_COUNTS,ESP_Q2_COUNTS,ESP_Q3_COUNTS,ESP_0_7_COUNTS,ESP_17_COUNTS,ESP_25_COUNTS,ESP_30_COUNTS,ESP_36_COUNTS,ESP_DARK_COUNTS,MP_LYA_COUNTS,MP_DARK_COUNTS,dt,ESP_0_7_DIFFS
0,2024-04-04 01:16:20,2090884617.6293032,56,113,166,225,560,556,157,162,3,49,40,39,2024-04-04 01:16:20,
1,2024-04-04 01:16:30,2090884627.6301181,58,112,166,224,560,557,156,162,2,49,39,39,2024-04-04 01:16:30,0.0
2,2024-04-04 01:16:40,2090884637.6291811,56,113,166,225,560,557,157,162,3,49,39,38,2024-04-04 01:16:40,0.0
3,2024-04-04 01:16:50,2090884647.629995,56,113,166,224,559,557,158,161,2,48,38,39,2024-04-04 01:16:50,-1.0
4,2024-04-04 01:17:00,2090884657.6292136,56,114,166,223,559,558,157,160,2,49,39,40,2024-04-04 01:17:00,0.0
5,2024-04-04 01:17:10,2090884667.6304662,57,113,165,223,558,556,156,161,2,48,39,39,2024-04-04 01:17:10,-1.0
6,2024-04-04 01:17:20,2090884677.629883,57,113,164,222,556,557,157,161,2,48,39,39,2024-04-04 01:17:20,-2.0
7,2024-04-04 01:17:30,2090884687.6298876,56,113,165,225,559,557,157,161,2,48,39,40,2024-04-04 01:17:30,3.0
8,2024-04-04 01:17:40,2090884697.630136,55,113,164,224,556,555,157,160,3,49,40,40,2024-04-04 01:17:40,-3.0
9,2024-04-04 01:17:50,2090884707.6298046,56,112,165,224,557,557,158,160,3,48,39,40,2024-04-04 01:17:50,1.0
10,2024-04-04 01:18:00,2090884717.6304536,57,113,166,224,560,558,155,161,3,48,40,39,2024-04-04 01:18:00,3.0
11,2024-04-04 01:18:10,2090884727.6295834,56,114,166,223,559,556,156,162,2,48,39,40,2024-04-04 01:18:10,-1.0
12,2024-04-04 01:18:20,2090884737.6299758,57,113,165,226,561,558,156,161,2,49,39,39,2024-04-04 01:18:20,2.0
13,2024-04-04 01:18:30,2090884747.6301327,57,114,165,226,562,557,157,161,2,49,40,41,2024-04-04 01:18:30,1.0
14,2024-04-04 01:18:40,2090884757.6302886,58,115,166,224,563,557,157,161,2,49,39,41,2024-04-04 01:18:40,1.0
15,2024-04-04 01:18:50,2090884767.630351,56,113,167,225,561,557,158,161,3,49,39,39,2024-04-04 01:18:50,-2.0
16,2024-04-04 01:19:00,2090884777.6300561,58,115,165,226,564,557,157,161,2,49,41,40,2024-04-04 01:19:00,3.0
17,2024-04-04 01:19:10,2090884787.6298,57,114,165,224,560,557,157,161,3,49,40,40,2024-04-04 01:19:10,-4.0
18,2024-04-04 01:19:20,2090884797.6300638,59,114,165,225,563,558,158,160,1,48,38,40,2024-04-04 01:19:20,3.0
19,2024-04-04 01:19:30,2090884807.6294224,57,113,166,224,560,556,157,161,2,48,38,39,2024-04-04 01:19:30,-3.0
20,2024-04-04 01:19:40,2090884817.6308963,58,115,168,225,566,557,157,161,2,49,40,39,2024-04-04 01:19:40,6.0
21,2024-04-04 01:19:50,2090884827.6325486,58,114,166,224,562,557,156,160,2,49,39,39,2024-04-04 01:19:50,-4.0
22,2024-04-04 01:20:00,2090884837.6299608,58,114,166,226,564,557,157,161,2,49,39,40,2024-04-04 01:20:00,2.0
23,2024-04-04 01:20:10,2090884847.6298964,57,114,166,226,563,557,156,161,2,49,39,40,2024-04-04 01:20:10,-1.0
24,2024-04-04 01:20:20,2090884857.6300802,57,113,168,224,562,557,157,161,3,49,39,40,2024-04-04 01:20:20,-1.0
25,2024-04-04 01:20:30,2090884867.6295543,57,115,165,224,561,557,157,162,1,48,39,40,2024-04-04 01:20:30,-1.0
26,2024-04-04 01:20:40,2090884877.630289,58,114,166,224,562,557,157,161,2,49,39,40,2024-04-04 01:20:40,1.0
27,2024-04-04 01:20:50,2090884887.6295743,58,115,164,226,563,557,157,161,3,48,38,40,2024-04-04 01:20:50,1.0
28,2024-04-04 01:21:00,2090884897.6309137,57,114,164,224,559,557,157,161,3,49,39,40,2024-04-04 01:21:00,-4.0
29,2024-04-04 01:21:10,2090884907.6277108,56,115,165,226,562,557,157,161,3,49,40,40,2024-04-04 01:21:10,3.0
30,2024-04-04 01:21:20,2090884917.6282072,58,117,166,226,567,556,157,161,3,49,39,39,2024-04-04 01:21:20,5.0
31,2024-04-04 01:21:30,2090884927.6307092,57,114,167,226,564,556,158,160,2,49,42,41,2024-04-04 01:21:30,-3.0
32,2024-04-04 01:21:40,2090884937.6276913,58,115,165,225,563,558,156,161,3,49,40,40,2024-04-04 01:21:40,-1.0
33,2024-04-04 01:21:50,2090884947.6282737,58,114,165,225,562,557,158,160,3,49,40,39,2024-04-04 01:21:50,-1.0
34,2024-04-04 01:22:00,2090884957.6286986,58,114,167,225,564,558,156,160,2,50,39,40,2024-04-04 01:22:00,2.0
35,2024-04-04 01:22:10,2090884967.6283042,59,115,166,223,563,558,156,161,4,49,39,40,2024-04-04 01:22:10,-1.0
36,2024-04-04 01:22:20,2090884977.6281874,59,116,167,224,566,557,158,161,3,48,39,40,2024-04-04 01:22:20,3.0
37,2024-04-04 01:22:30,2090884987.6281345,58,114,166,224,562,557,158,160,3,48,39,41,2024-04-04 01:22:30,-4.0
38,2024-04-04 01:22:40,2090884997.6281855,58,115,166,224,563,557,157,161,4,49,40,39,2024-04-04 01:22:40,1.0
39,2024-04-04 01:22:50,2090885007.6281374,57,114,167,224,562,557,158,161,3,49,39,39,2024-04-04 01:22:50,-1.0
40,2024-04-04 01:23:00,2090885017.6280644,59,113,167,225,564,558,156,161,2,49,39,40,2024-04-04 01:23:00,2.0
41,2024-04-04 01:23:10,2090885027.628253,58,113,166,225,562,556,157,162,4,49,39,40,2024-04-04 01:23:10,-2.0
42,2024-04-04 01:23:20,2090885037.6328578,57,116,164,225,562,556,156,162,3,49,40,39,2024-04-04 01:23:20,0.0
