,time_tag,satellite,xrsa,xrsb,xrsa_diff,xrsb_diff
0,2024-04-04 01:17:00+00:00,16,1.4951432092402683e-08,3.7474268310688785e-07,,
1,2024-04-04 01:18:00+00:00,16,1.737507560051199e-08,3.951362828047422e-07,2.4236435081093077e-09,2.039359969785437e-08
2,2024-04-04 01:19:00+00:00,16,1.5346319770515038e-08,4.0100519527186407e-07,-2.0287558299969533e-09,5.868912467121845e-09
3,2024-04-04 01:20:00+00:00,16,1.4871072373523475e-08,3.94405788028962e-07,-4.752473969915627e-10,-6.599407242902089e-09
4,2024-04-04 01:21:00+00:00,16,1.621768142001656e-08,3.9604307744411926e-07,1.3466090464930858e-09,1.6372894151572837e-09
5,2024-04-04 01:22:00+00:00,16,1.7590565448699635e-08,4.058472313772654e-07,1.3728840286830746e-09,9.804153933146154e-09
6,2024-04-04 01:23:00+00:00,16,1.699344842620576e-08,4.022088830879511e-07,-5.97117022493876e-10,-3.638348289314308e-09
7,2024-04-04 01:24:00+00:00,16,1.4336049680707674e-08,3.823671477221069e-07,-2.657398745498085e-09,-1.9841735365844215e-08
8,2024-04-04 01:25:00+00:00,16,1.3669477105793248e-08,3.680785312099033e-07,-6.665725749144258e-10,-1.4288616512203589e-08
9,2024-04-04 01:26:00+00:00,16,1.4545260995646458e-08,3.559618164672429e-07,8.7578388985321e-10,-1.2116714742660406e-08
10,2024-04-04 01:27:00+00:00,16,1.4732056463628851e-08,3.5239253293184447e-07,1.8679546798239244e-10,-3.5692835353984265e-09
11,2024-04-04 01:28:00+00:00,16,1.509135749699908e-08,3.504558208078379e-07,3.5930103337022956e-10,-1.93671212400659e-09
12,2024-04-04 01:29:00+00:00,16,1.4548525051338856e-08,3.4681772831390845e-07,-5.42832445660224e-10,-3.6380924939294346e-09
13,2024-04-04 01:30:00+00:00,16,1.5112719964349708e-08,3.4308843055441685e-07,5.641949130108515e-10,-3.729297759491601e-09
14,2024-04-04 01:31:00+00:00,16,1.3394745757011606e-08,3.4034303553198697e-07,-1.7179742073381021e-09,-2.745395022429875e-09
15,2024-04-04 01:32:00+00:00,16,1.3524986464119593e-08,3.388701088624657e-07,1.3024070710798696e-10,-1.4729266695212573e-09
16,2024-04-04 01:33:00+00:00,16,1.3878423743562962e-08,3.398244530217198e-07,3.5343727944336933e-10,9.543441592541058e-10
17,2024-04-04 01:34:00+00:00,16,1.3851044755597286e-08,3.353550539486605e-07,-2.737898796567606e-11,-4.469399073059321e-09
18,2024-04-04 01:35:00+00:00,16,1.3838123535947489e-08,3.345389814057853e-07,-1.2921219649797422e-11,-8.160725428751903e-10
19,2024-04-04 01:36:00+00:00,16,1.4610495924216593e-08,3.32425315718865e-07,7.723723882691047e-10,-2.1136656869202852e-09
20,2024-04-04 01:37:00+00:00,16,1.3393893105728694e-08,3.30694803096776e-07,-1.2166028184878996e-09,-1.7305126220890088e-09
21,2024-04-04 01:38:00+00:00,16,1.3043011115598802e-08,3.30940849835315e-07,-3.5088199012989207e-10,2.460467385390075e-10
22,2024-04-04 01:39:00+00:00,16,1.3295975875848853e-08,3.2782705261524825e-07,2.5296476025005177e-10,-3.113797220066772e-09
23,2024-04-04 01:40:00+00:00,16,1.4490251665222331e-08,3.283543321686011e-07,1.1942757893734779e-09,5.272795533528551e-10
24,2024-04-04 01:41:00+00:00,16,1.617645928320144e-08,3.2961244755824737e-07,1.6862076179791075e-09,1.2581153896462638e-09
25,2024-04-04 01:42:00+00:00,16,1.5773423456266755e-08,3.259987408910092e-07,-4.0303582693468343e-10,-3.613706667238148e-09
26,2024-04-04 01:43:00+00:00,16,1.6050655915478274e-08,3.276562097198621e-07,2.772324592115183e-10,1.6574688288528705e-09
27,2024-04-04 01:44:00+00:00,16,1.6495134147476165e-08,3.280254645687819e-07,4.4447823199789127e-10,3.6925484891980886e-10
28,2024-04-04 01:45:00+00:00,16,1.656034243069371e-08,3.2944547001534374e-07,6.52082832175438e-11,1.420005446561845e-09
29,2024-04-04 01:46:00+00:00,16,1.751227429735991e-08,3.3064313242903154e-07,9.519318666662002e-10,1.1976624136877945e-09
