,UTC_TIME,TAI,ESP_Q0_COUNTS,ESP_Q1_COUNTS,ESP_Q2_COUNTS,ESP_Q3_COUNTS,ESP_0_7_COUNTS,ESP_17_COUNTS,ESP_25_COUNTS,ESP_30_COUNTS,ESP_36_COUNTS,ESP_DARK_COUNTS,MP_LYA_COUNTS,MP_DARK_COUNTS,dt,ESP_0_7_DIFFS
0,2024-04-04 01:07:40,2090884097.6278512,56,113,165,223,557,555,157,161,3,49,39,39,2024-04-04 01:07:40,
1,2024-04-04 01:07:50,2090884107.6288207,57,112,163,222,554,557,157,162,1,49,39,39,2024-04-04 01:07:50,-3.0
2,2024-04-04 01:08:00,2090884117.628557,57,111,164,223,555,555,157,161,2,49,40,41,2024-04-04 01:08:00,1.0
3,2024-04-04 01:08:10,2090884127.6286662,57,111,164,223,555,557,158,161,3,49,39,40,2024-04-04 01:08:10,0.0
4,2024-04-04 01:08:20,2090884137.6284177,57,112,165,222,556,556,157,160,2,49,40,39,2024-04-04 01:08:20,1.0
5,2024-04-04 01:08:30,2090884147.6289532,57,112,166,222,557,556,157,161,2,49,38,40,2024-04-04 01:08:30,1.0
6,2024-04-04 01:08:40,2090884157.6291158,56,112,162,223,553,557,157,161,3,49,40,40,2024-04-04 01:08:40,-4.0
7,2024-04-04 01:08:50,2090884167.6293013,57,112,163,221,553,556,157,161,3,49,39,40,2024-04-04 01:08:50,0.0
8,2024-04-04 01:09:00,2090884177.6288986,56,112,165,222,555,556,157,162,2,50,39,39,2024-04-04 01:09:00,2.0
9,2024-04-04 01:09:10,2090884187.6294847,57,112,164,223,556,556,157,160,2,50,40,39,2024-04-04 01:09:10,1.0
10,2024-04-04 01:09:20,2090884197.628973,57,111,163,223,554,556,158,160,2,49,39,40,2024-04-04 01:09:20,-2.0
11,2024-04-04 01:09:30,2090884207.6298795,57,113,163,223,556,557,158,161,2,49,39,40,2024-04-04 01:09:30,2.0
12,2024-04-04 01:09:40,2090884217.6293087,56,111,164,222,553,556,156,161,1,50,39,39,2024-04-04 01:09:40,-3.0
13,2024-04-04 01:09:50,2090884227.6295714,58,113,163,222,556,556,158,162,2,50,39,39,2024-04-04 01:09:50,3.0
14,2024-04-04 01:10:00,2090884237.628996,55,113,163,223,554,558,157,161,2,50,40,40,2024-04-04 01:10:00,-2.0
15,2024-04-04 01:10:10,2090884247.6295495,57,113,164,222,556,557,158,161,3,49,39,39,2024-04-04 01:10:10,2.0
16,2024-04-04 01:10:20,2090884257.6290073,57,112,164,223,556,556,156,161,2,48,40,39,2024-04-04 01:10:20,0.0
17,2024-04-04 01:10:30,2090884267.6296823,57,112,164,222,555,557,157,161,3,49,39,39,2024-04-04 01:10:30,-1.0
18,2024-04-04 01:10:40,2090884277.6294892,56,111,163,223,553,557,157,160,1,49,40,40,2024-04-04 01:10:40,-2.0
19,2024-04-04 01:10:50,2090884287.6296184,56,112,164,222,554,556,156,161,2,50,38,40,2024-04-04 01:10:50,1.0
20,2024-04-04 01:11:00,2090884297.645445,56,111,165,222,554,556,158,161,2,49,39,40,2024-04-04 01:11:00,0.0
21,2024-04-04 01:11:10,2090884307.6290386,56,112,164,222,554,557,156,161,2,49,39,40,2024-04-04 01:11:10,0.0
22,2024-04-04 01:11:20,2090884317.6299517,57,111,164,223,555,556,157,161,3,49,39,40,2024-04-04 01:11:20,1.0
23,2024-04-04 01:11:30,2090884327.6296632,56,110,163,222,551,557,157,161,2,49,39,39,2024-04-04 01:11:30,-4.0
24,2024-04-04 01:11:40,2090884337.6294987,56,111,163,223,553,556,157,161,3,49,39,40,2024-04-04 01:11:40,2.0
25,2024-04-04 01:11:50,2090884347.6291113,57,112,165,223,557,557,158,161,3,49,40,41,2024-04-04 01:11:50,4.0
26,2024-04-04 01:12:00,2090884357.6298966,56,111,164,224,555,556,158,161,2,49,39,41,2024-04-04 01:12:00,-2.0
27,2024-04-04 01:12:10,2090884367.6296902,57,113,162,224,556,556,157,161,3,49,40,39,2024-04-04 01:12:10,1.0
28,2024-04-04 01:12:20,2090884377.6299605,56,112,164,222,554,556,158,161,1,49,40,39,2024-04-04 01:12:20,-2.0
