,date,time,Flare Flag,1-7 GHz,7-13 GHz,13-18 GHz,Mean,Sigma,Threshold,Count
0,2024-04-03,23:30:26.498000,233026.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-04-03,23:30:27.548000,233027.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-04-03,23:30:28.170000,233028.17,23236.2031,5079.6333,3112.98608,3112.98608,9690682.0,0.0,1.0
3,2024-04-03,23:30:29.158000,233029.158,32245.4746,5203.97461,2967.64819,3040.31714,102.771591,0.0,2.0
4,2024-04-03,23:30:30.212000,233030.212,27929.8164,5313.65283,3100.92651,3060.52026,80.6597824,0.0,3.0
5,2024-04-03,23:30:31.483000,233031.483,25373.2695,5080.87305,2922.86621,3026.10669,95.2610474,0.0,4.0
6,2024-04-03,23:30:33.074000,233033.074,25314.752,5093.61768,3012.47607,3023.38037,82.7345123,0.0,5.0
7,2024-04-03,23:30:35.365000,233035.365,33751.8438,5186.40234,2919.20435,3006.01782,85.3510361,0.0,6.0
8,2024-04-03,23:30:36.173000,233036.173,35472.8789,5187.94727,3010.86353,3006.71021,77.9273148,0.0,7.0
9,2024-04-03,23:30:36.250000,233036.25,36381.6445,5094.38477,2926.823,2996.72412,77.4891663,0.0,8.0
10,2024-04-03,23:30:36.325000,233036.325,35631.7617,5057.62012,2773.48901,2971.92017,103.879738,0.0,9.0
11,2024-04-03,23:30:37.538000,233037.538,38439.2227,5490.75439,2970.17822,2971.74585,97.9478302,3265.58936,10.0
12,2024-04-03,23:30:38.592000,233038.592,28571.6504,5125.50244,2989.60425,2973.36938,93.0763168,3252.59839,11.0
13,2024-04-03,23:30:39.165000,233039.165,25277.1133,5221.78857,2945.32153,2971.03198,89.1168823,3238.38257,12.0
14,2024-04-03,23:30:40.214000,233040.214,22212.584,5108.94336,3040.36841,2976.36548,87.4680862,3238.76978,13.0
15,2024-04-03,23:30:41.269000,233041.269,25920.6934,5061.06738,2937.82617,2973.61279,84.6567688,3227.58301,14.0
16,2024-04-03,23:30:42.326000,233042.326,24995.0898,5053.9209,2996.67749,2975.15015,81.808136,3220.57446,15.0
17,2024-04-03,23:30:43.376000,233043.376,25984.334,5081.54492,2909.20459,2971.02856,80.7300034,3213.21851,16.0
18,2024-04-03,23:30:44.432000,233044.432,21849.8789,5132.41602,2992.53467,2972.2937,78.3390045,3207.31079,17.0
19,2024-04-03,23:30:45.489000,233045.489,27285.0742,5153.77344,2896.34497,2968.07422,78.0829163,3202.323,18.0
20,2024-04-03,23:30:46.537000,233046.537,21548.4141,5128.86475,3219.72021,2981.3186,95.3496475,3267.36768,19.0
21,2024-04-03,23:30:47.160000,233047.16,22876.1523,5079.74023,2919.16797,2978.21118,93.8352432,3259.7168,20.0
22,2024-04-03,23:30:48.164000,233048.164,24749.8828,5070.24854,3013.46753,2979.89014,91.786705,3255.25024,21.0
23,2024-04-03,23:30:49.215000,233049.215,27611.2461,5068.61914,3016.49512,2981.55396,89.9142456,3251.29663,22.0
24,2024-04-03,23:30:50.270000,233050.27,26912.9805,5085.43506,3051.91675,2984.61304,89.0679016,3251.81665,23.0
25,2024-04-03,23:30:51.340000,233051.34,23577.9902,5134.22363,2968.94824,2983.96021,87.1739883,3245.48218,24.0
26,2024-04-03,23:30:52.376000,233052.376,23033.2734,5263.60693,3082.21899,2987.89062,87.5747299,3250.61475,25.0
27,2024-04-03,23:30:53.485000,233053.485,33980.0078,5368.82178,3033.04565,2989.62744,86.2554321,3248.3938,26.0
28,2024-04-03,23:30:54.542000,233054.542,26195.375,5357.82422,3080.06812,2992.97705,86.3516922,3252.03223,27.0
29,2024-04-03,23:30:55.591000,233055.591,25895.6055,5565.85107,2967.96729,2992.08398,84.8632889,3246.67383,28.0
30,2024-04-03,23:30:56.160000,233056.16,27526.6191,5658.354,3115.7002,2996.34668,86.4374237,3255.65894,29.0
31,2024-04-03,23:30:57.165000,233057.165,27634.7109,4994.08838,2810.4585,2990.15063,91.4526443,3264.50854,30.0
32,2024-04-03,23:30:58.216000,233058.216,27255.1445,4939.61816,2870.4104,2986.28809,92.4510727,3263.64136,31.0
