,date,time,Flare Flag,1-7 GHz,7-13 GHz,13-18 GHz,Mean,Sigma,Threshold,Count
0,2024-04-03,21:39:26.172000,213926.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-04-03,21:39:27.168000,213927.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-04-03,21:39:28.223000,213928.223,61644.5273,8338.33691,3353.71802,3353.71802,11247425.0,0.0,1.0
3,2024-04-03,21:39:29.264000,213929.264,51514.5547,8394.31641,3254.86523,3304.2915,69.9142303,0.0,2.0
4,2024-04-03,21:39:30.372000,213930.372,50275.4805,8346.36035,3348.86182,3319.14844,55.7225266,0.0,3.0
5,2024-04-03,21:39:31.427000,213931.427,49429.9141,8328.15039,3237.80688,3298.81299,61.0245857,0.0,4.0
6,2024-04-03,21:39:32.481000,213932.481,55616.8984,8325.32812,3356.45386,3310.34106,58.80476,0.0,5.0
7,2024-04-03,21:39:33.534000,213933.534,45204.4023,8362.22168,3252.45483,3300.69336,57.6610794,0.0,6.0
8,2024-04-03,21:39:34.587000,213934.587,48756.6641,8315.25488,3325.1311,3304.18433,53.4540291,0.0,7.0
9,2024-04-03,21:39:35.155000,213935.155,45593.9961,8472.72461,3261.54004,3298.854,51.7134972,0.0,8.0
10,2024-04-03,21:39:36.212000,213936.212,55841.1523,8344.12598,3342.9707,3303.75586,50.5667877,0.0,9.0
11,2024-04-03,21:39:37.265000,213937.265,50927.2031,8466.37402,3236.68262,3297.04834,52.1876984,3453.61133,10.0
12,2024-04-03,21:39:38.317000,213938.317,49760.0273,8588.33398,3318.69482,3299.01636,49.927948,3448.80029,11.0
13,2024-04-03,21:39:39.372000,213939.372,51364.918,8311.6875,3223.25391,3292.70288,52.3901443,3449.87329,12.0
14,2024-04-03,21:39:40.479000,213940.479,54803.2344,8297.26172,3360.1377,3297.89014,53.5412636,3458.51392,13.0
15,2024-04-03,21:39:41.588000,213941.588,47032.4102,8302.70215,3248.38892,3294.35425,53.1123619,3453.69141,14.0
16,2024-04-03,21:39:42.316000,213942.316,48631.9727,8344.52148,3344.97949,3297.72949,52.8177452,3456.18262,15.0
17,2024-04-03,21:39:43.588000,213943.588,49633.4141,8380.3623,3299.97363,3297.86963,51.0372429,3450.98145,16.0
18,2024-04-03,21:39:44.155000,213944.155,55739.3789,8401.25977,3306.68652,3298.38843,49.4570503,3446.75952,17.0
19,2024-04-03,21:39:45.158000,213945.158,48060.6914,8437.64258,3253.35059,3295.88623,49.1432495,3443.31592,18.0
20,2024-04-03,21:39:46.439000,213946.439,47092.5703,8308.40234,3317.11694,3297.00366,48.0,3441.00366,19.0
21,2024-04-03,21:39:47.169000,213947.169,49192.5625,8453.85547,3259.70044,3295.13867,47.444149,3437.47119,20.0
