,UTC_TIME,TAI,ESP_Q0_COUNTS,ESP_Q1_COUNTS,ESP_Q2_COUNTS,ESP_Q3_COUNTS,ESP_0_7_COUNTS,ESP_17_COUNTS,ESP_25_COUNTS,ESP_30_COUNTS,ESP_36_COUNTS,ESP_DARK_COUNTS,MP_LYA_COUNTS,MP_DARK_COUNTS,dt,ESP_0_7_DIFFS
46,2024-04-04 01:03:50,2090883867.6275525,56,113,164,222,555,557,157,162,2,49,39,40,2024-04-04 01:03:50,-6.0
47,2024-04-04 01:04:00,2090883877.627513,56,111,165,223,555,556,157,161,2,49,39,40,2024-04-04 01:04:00,0.0
48,2024-04-04 01:04:10,2090883887.6273236,56,111,164,223,554,557,158,160,3,49,39,40,2024-04-04 01:04:10,-1.0
49,2024-04-04 01:04:20,2090883897.6275558,54,112,165,222,553,558,157,162,3,49,40,39,2024-04-04 01:04:20,-1.0
50,2024-04-04 01:04:30,2090883907.6275373,55,111,164,221,551,557,157,160,3,49,39,39,2024-04-04 01:04:30,-2.0
51,2024-04-04 01:04:40,2090883917.6272585,55,111,164,224,554,556,157,162,2,48,39,40,2024-04-04 01:04:40,3.0
52,2024-04-04 01:04:50,2090883927.627303,56,114,162,222,554,557,157,161,2,49,39,40,2024-04-04 01:04:50,0.0
53,2024-04-04 01:05:00,2090883937.6273959,55,112,163,222,552,557,158,161,3,49,40,41,2024-04-04 01:05:00,-2.0
54,2024-04-04 01:05:10,2090883947.627588,55,112,164,223,554,556,158,161,3,49,39,39,2024-04-04 01:05:10,2.0
55,2024-04-04 01:05:20,2090883957.6278517,56,113,164,223,556,556,158,161,3,49,42,39,2024-04-04 01:05:20,2.0
56,2024-04-04 01:05:30,2090883967.6273763,57,113,164,223,557,558,158,161,2,49,39,40,2024-04-04 01:05:30,1.0
57,2024-04-04 01:05:40,2090883977.627557,56,112,163,222,553,557,158,160,2,49,39,41,2024-04-04 01:05:40,-4.0
58,2024-04-04 01:05:50,2090883987.6273925,56,112,166,223,557,556,157,160,2,49,39,39,2024-04-04 01:05:50,4.0
59,2024-04-04 01:06:00,2090883997.62758,56,112,163,223,554,557,158,161,2,48,41,41,2024-04-04 01:06:00,-3.0
60,2024-04-04 01:06:10,2090884007.627717,57,111,164,223,555,557,157,161,3,49,39,39,2024-04-04 01:06:10,1.0
61,2024-04-04 01:06:20,2090884017.6276202,56,113,164,223,556,557,157,161,2,49,39,41,2024-04-04 01:06:20,1.0
62,2024-04-04 01:06:30,2090884027.6272707,55,112,165,223,555,558,157,161,2,49,39,40,2024-04-04 01:06:30,-1.0
63,2024-04-04 01:06:40,2090884037.6276984,55,112,165,223,555,557,157,161,3,49,39,41,2024-04-04 01:06:40,0.0
64,2024-04-04 01:06:50,2090884047.6274137,55,113,163,222,553,556,158,161,2,49,40,39,2024-04-04 01:06:50,-2.0
65,2024-04-04 01:07:00,2090884057.627771,57,112,165,224,558,557,157,161,2,49,39,40,2024-04-04 01:07:00,5.0
66,2024-04-04 01:07:10,2090884067.6278439,56,112,162,223,553,556,158,161,1,49,38,39,2024-04-04 01:07:10,-5.0
67,2024-04-04 01:07:20,2090884077.6281228,59,111,162,222,554,557,157,162,2,50,40,40,2024-04-04 01:07:20,1.0
68,2024-04-04 01:07:30,2090884087.6285057,56,112,163,223,554,556,157,161,2,49,39,40,2024-04-04 01:07:30,0.0
69,2024-04-04 01:07:40,2090884097.6278512,56,113,165,223,557,555,157,161,3,49,39,39,2024-04-04 01:07:40,3.0
70,2024-04-04 01:07:50,2090884107.6288207,57,112,163,222,554,557,157,162,1,49,39,39,2024-04-04 01:07:50,-3.0
71,2024-04-04 01:08:00,2090884117.628557,57,111,164,223,555,555,157,161,2,49,40,41,2024-04-04 01:08:00,1.0
72,2024-04-04 01:08:10,2090884127.6286662,57,111,164,223,555,557,158,161,3,49,39,40,2024-04-04 01:08:10,0.0
73,2024-04-04 01:08:20,2090884137.6284177,57,112,165,222,556,556,157,160,2,49,40,39,2024-04-04 01:08:20,1.0
74,2024-04-04 01:08:30,2090884147.6289532,57,112,166,222,557,556,157,161,2,49,38,40,2024-04-04 01:08:30,1.0
75,2024-04-04 01:08:40,2090884157.6291158,56,112,162,223,553,557,157,161,3,49,40,40,2024-04-04 01:08:40,-4.0
76,2024-04-04 01:08:50,2090884167.6293013,57,112,163,221,553,556,157,161,3,49,39,40,2024-04-04 01:08:50,0.0
77,2024-04-04 01:09:00,2090884177.6288986,56,112,165,222,555,556,157,162,2,50,39,39,2024-04-04 01:09:00,2.0
78,2024-04-04 01:09:10,2090884187.6294847,57,112,164,223,556,556,157,160,2,50,40,39,2024-04-04 01:09:10,1.0
79,2024-04-04 01:09:20,2090884197.628973,57,111,163,223,554,556,158,160,2,49,39,40,2024-04-04 01:09:20,-2.0
80,2024-04-04 01:09:30,2090884207.6298795,57,113,163,223,556,557,158,161,2,49,39,40,2024-04-04 01:09:30,2.0
81,2024-04-04 01:09:40,2090884217.6293087,56,111,164,222,553,556,156,161,1,50,39,39,2024-04-04 01:09:40,-3.0
82,2024-04-04 01:09:50,2090884227.6295714,58,113,163,222,556,556,158,162,2,50,39,39,2024-04-04 01:09:50,3.0
83,2024-04-04 01:10:00,2090884237.628996,55,113,163,223,554,558,157,161,2,50,40,40,2024-04-04 01:10:00,-2.0
84,2024-04-04 01:10:10,2090884247.6295495,57,113,164,222,556,557,158,161,3,49,39,39,2024-04-04 01:10:10,2.0
85,2024-04-04 01:10:20,2090884257.6290073,57,112,164,223,556,556,156,161,2,48,40,39,2024-04-04 01:10:20,0.0
86,2024-04-04 01:10:30,2090884267.6296823,57,112,164,222,555,557,157,161,3,49,39,39,2024-04-04 01:10:30,-1.0
87,2024-04-04 01:10:40,2090884277.6294892,56,111,163,223,553,557,157,160,1,49,40,40,2024-04-04 01:10:40,-2.0
88,2024-04-04 01:10:50,2090884287.6296184,56,112,164,222,554,556,156,161,2,50,38,40,2024-04-04 01:10:50,1.0
89,2024-04-04 01:11:00,2090884297.645445,56,111,165,222,554,556,158,161,2,49,39,40,2024-04-04 01:11:00,0.0
90,2024-04-04 01:11:10,2090884307.6290386,56,112,164,222,554,557,156,161,2,49,39,40,2024-04-04 01:11:10,0.0
91,2024-04-04 01:11:20,2090884317.6299517,57,111,164,223,555,556,157,161,3,49,39,40,2024-04-04 01:11:20,1.0
92,2024-04-04 01:11:30,2090884327.6296632,56,110,163,222,551,557,157,161,2,49,39,39,2024-04-04 01:11:30,-4.0
